town_id,treatment,town_group,person_id,uses_new_seeds,hhld_size,age_head_hhld,married,lnearnings
283,1,3,96,1,5,40,1,10.74289
283,1,3,97,1,6,35,1,9.695647
283,1,3,98,1,6,40,0,10.58801
283,0,3,99,1,2,35,0,9.387494
283,1,3,100,1,5,30,1,11.27032
283,1,3,101,1,3,45,1,10.16678
283,0,3,102,,6,40,0,
283,0,3,103,1,3,25,0,10.5561
283,1,3,104,1,6,40,1,10.53166
283,0,3,105,0,3,40,1,10.77555
283,0,3,106,1,4,30,1,9.965559
283,1,3,107,1,5,40,1,11.53452
283,1,3,108,,6,30,1,
283,1,3,109,1,4,25,0,9.930508
283,1,3,110,,2,35,1,
283,1,3,111,1,5,35,1,10.48379
283,0,3,112,,6,50,1,
283,1,3,113,1,3,30,0,10.33921
283,1,3,114,1,6,40,1,11.92951
283,1,3,115,1,4,50,1,10.28081
283,1,3,116,1,5,25,1,9.765788
283,0,3,117,1,5,35,1,11.11218
283,1,3,118,,4,40,0,
283,1,3,119,1,6,35,1,11.56205
283,1,3,120,1,6,30,1,11.71236
283,1,3,121,1,2,30,1,9.03602
283,1,3,122,1,3,40,0,9.808506
283,1,3,123,1,2,30,0,8.905841
283,1,3,124,1,4,35,1,9.51655
283,1,3,125,1,6,40,0,11.98026
283,0,3,126,1,6,35,1,9.566544
283,1,3,127,1,4,30,0,10.85158
283,1,3,128,1,3,45,1,10.52007
283,1,3,129,1,4,50,1,11.01987
283,1,3,130,1,5,50,0,9.874299
283,1,3,131,1,6,40,1,11.25437
283,1,3,132,1,6,40,0,11.02718
283,0,3,133,1,6,40,0,9.253044
283,1,3,134,1,4,35,1,9.893835
283,1,3,135,1,5,50,1,12.63301
283,1,3,136,,4,35,1,
283,1,3,137,1,4,30,1,10.26161
283,1,3,138,1,2,40,1,9.723996
283,0,3,139,1,2,35,1,10.36705
283,0,3,140,1,4,50,1,11.71242
283,1,3,141,1,3,30,1,9.515122
283,1,3,142,1,3,40,1,10.51076
283,1,3,143,1,4,40,0,10.10614
283,1,3,144,1,2,35,1,9.176848
283,1,3,145,1,6,40,0,11.97307
283,1,3,146,1,6,30,0,11.82438
283,0,3,147,1,3,40,0,9.283944
283,1,3,148,1,4,40,0,9.393386
283,1,3,149,1,6,45,1,10.82409
283,1,3,150,1,3,40,0,10.5646
283,1,3,151,1,4,25,1,9.806846
283,1,3,152,,5,45,1,
283,1,3,153,1,6,40,0,10.14296
283,1,3,154,1,6,40,1,10.58154
283,1,3,155,1,4,35,0,10.35396
283,1,3,156,,4,35,0,
283,1,3,157,1,6,45,1,10.01887
283,1,3,158,,4,50,1,
283,1,3,159,,2,45,0,
283,1,3,160,1,5,35,0,10.66057
283,1,3,161,1,6,45,0,10.92509
283,1,3,162,1,2,30,1,10.00776
283,1,3,163,1,4,45,0,11.85768
283,1,3,164,1,3,40,0,9.984449
283,1,3,165,1,5,40,0,10.86276
283,1,3,166,1,6,45,0,11.51842
283,0,3,167,1,4,35,0,10.32657
283,1,3,168,1,6,40,1,12.15613
283,1,3,169,1,3,35,1,9.132224
283,1,3,170,1,2,35,1,9.811769
283,1,3,171,,6,50,0,
283,1,3,172,1,3,40,0,10.00591
283,0,3,173,1,2,30,0,10.26822
283,0,3,174,1,4,35,1,10.36177
283,0,3,175,1,3,50,0,9.65264
283,0,3,176,1,4,40,1,10.1361
283,1,3,177,,5,40,1,
283,1,3,178,1,3,35,1,9.975957
283,1,3,179,1,4,35,0,11.1191
283,1,3,180,1,6,30,1,11.0419
283,0,3,181,,6,40,1,
283,1,3,182,1,6,30,1,9.692282
283,1,3,183,1,3,30,1,10.49989
283,1,3,184,,3,40,1,
283,1,3,185,1,4,25,0,9.575226
283,0,3,186,,2,25,1,
283,0,3,187,1,6,30,1,11.09635
283,1,3,188,,3,25,0,
283,1,3,189,,4,35,0,
283,1,3,190,1,6,40,0,10.45873
283,1,3,191,1,2,35,1,10.54657
283,1,3,192,,5,30,1,
283,1,3,193,1,4,30,1,10.06855
283,1,3,194,,3,30,0,
283,1,3,195,1,5,40,0,11.60632
283,0,3,196,1,4,50,1,10.67934
283,1,3,197,1,3,30,0,9.708685
283,0,3,198,1,2,40,0,9.289426
283,1,3,199,1,4,45,0,11.07365
283,1,3,200,1,4,40,1,10.15061
283,1,3,201,,5,40,1,
283,1,3,202,1,5,30,1,9.667442
283,1,3,203,1,6,35,0,9.757561
283,1,3,204,1,5,30,0,10.38846
283,0,3,205,,4,30,0,
283,0,3,206,1,4,40,0,11.52643
283,0,3,207,1,6,40,0,10.61222
283,1,3,208,,6,25,1,
283,1,3,209,1,6,40,0,11.11801
283,1,3,210,1,6,45,1,9.695207
283,1,3,211,,3,40,0,
283,1,3,212,,5,35,0,
283,0,3,213,1,4,30,1,10.37722
283,0,3,214,1,3,35,1,10.22761
283,0,3,215,1,4,35,1,11.14525
283,0,3,216,1,4,35,0,10.15628
283,1,3,217,1,3,40,1,10.06302
283,1,3,218,1,6,40,1,11.37481
283,1,3,219,,6,40,1,
283,0,3,220,1,2,50,1,9.812562
283,1,3,221,1,5,30,0,10.07528
283,0,3,222,0,2,45,1,10.77269
283,1,3,223,1,6,40,1,11.12648
283,1,3,224,1,4,30,0,11.20216
283,1,3,225,,4,40,1,
283,1,3,226,1,3,30,0,10.59406
283,1,3,227,1,3,50,1,9.987978
283,0,3,228,1,6,30,0,11.4034
283,1,3,229,1,6,40,0,11.06793
283,1,3,230,1,4,40,1,11.14449
283,1,3,231,1,3,45,1,9.664815
283,1,3,232,1,4,35,1,11.28418
283,1,3,233,1,4,40,0,10.79587
283,1,3,234,1,5,35,1,11.18533
283,0,3,235,1,3,30,1,9.410596
283,1,3,236,1,2,35,1,9.985357
283,1,3,237,1,5,50,0,10.64554
283,1,3,238,,6,30,0,
283,1,3,239,,4,40,1,
283,1,3,240,1,4,30,0,10.67471
283,1,3,241,1,6,30,1,11.48384
283,0,3,242,1,2,50,0,10.14903
283,1,3,243,1,3,30,1,9.740654
283,0,3,244,1,3,50,0,10.16113
283,1,3,245,1,4,50,0,9.27007
283,1,3,246,1,3,30,1,9.260882
283,0,3,247,1,3,35,1,9.913093
283,1,3,248,1,3,50,1,10.63952
283,1,3,249,1,3,40,1,9.889839
283,0,3,250,1,4,30,0,10.26923
283,1,3,251,1,5,40,0,9.960598
283,1,3,252,1,3,30,1,10.96757
283,1,3,253,,4,25,1,
283,1,3,254,1,6,40,0,10.37574
283,1,3,255,1,2,30,1,10.47362
283,1,3,256,1,5,40,1,10.4584
283,0,3,257,1,2,40,0,9.000176
283,0,3,258,0,3,30,1,9.534364
283,1,3,259,,6,25,0,
283,1,3,260,1,4,30,1,10.70202
283,1,3,261,1,2,30,0,9.613174
283,1,3,262,1,4,30,1,10.93302
283,1,3,263,,3,50,1,
283,0,3,264,0,4,40,1,11.01194
283,1,3,265,1,4,35,0,10.11979
282,1,3,266,1,3,40,1,11.11504
282,0,3,267,0,6,50,0,12.00685
282,1,3,268,1,3,50,0,10.04034
282,0,3,269,1,3,30,1,10.24389
282,0,3,270,1,2,45,1,9.521125
282,0,3,271,0,5,30,0,9.200795
282,1,3,272,1,5,40,0,10.52452
282,0,3,273,1,2,25,1,8.661453
282,1,3,274,1,5,40,0,9.244257
282,0,3,275,1,4,30,0,10.23784
282,1,3,276,1,2,50,0,10.41617
282,1,3,277,1,6,40,1,10.9645
282,1,3,278,1,6,25,0,9.851443
282,1,3,279,1,6,50,0,11.14185
282,1,3,280,1,4,30,1,9.71545
282,1,3,281,1,6,35,1,10.07335
282,1,3,282,1,4,35,1,10.16972
282,0,3,283,,4,50,0,
282,1,3,284,1,6,30,1,10.7924
282,1,3,285,,4,45,0,
282,0,3,286,,3,30,0,
282,1,3,287,1,5,40,1,11.27899
282,1,3,288,1,4,30,1,11.23367
282,0,3,289,1,4,40,1,10.26919
282,1,3,290,1,3,40,0,10.59368
282,1,3,291,1,6,30,0,10.24343
282,1,3,292,1,2,30,0,10.40417
282,1,3,293,1,3,35,1,11.56617
282,1,3,294,1,2,30,0,8.764994
282,1,3,295,1,5,25,0,11.02285
282,1,3,296,,4,30,0,
282,0,3,297,1,4,50,0,11.22544
282,0,3,298,1,4,25,0,10.13389
282,1,3,299,1,5,40,1,11.32588
282,0,3,300,1,4,45,1,10.57398
282,0,3,301,1,5,40,1,11.16981
282,1,3,302,,4,40,1,
282,0,3,303,1,3,35,1,9.766092
282,1,3,304,1,4,40,1,10.10481
282,1,3,305,,6,50,0,
282,0,3,306,1,2,30,0,8.812081
282,0,3,307,1,6,35,1,9.601148
282,1,3,308,1,6,50,0,11.09961
282,1,3,309,1,2,50,0,9.614278
282,0,3,310,1,5,30,0,10.56671
282,1,3,311,,2,30,0,
282,1,3,312,1,6,30,1,11.48514
282,0,3,313,1,4,25,1,10.37914
282,0,3,314,,4,50,1,
282,1,3,315,1,2,35,0,9.891563
282,1,3,316,,2,50,0,
282,1,3,317,,3,50,0,
282,0,3,318,1,6,50,1,10.60729
282,0,3,319,1,3,45,0,9.506997
282,1,3,320,,4,35,0,
282,1,3,321,1,3,40,0,10.67523
282,0,3,322,1,6,35,1,10.51003
282,1,3,323,,4,40,1,
282,1,3,324,,2,40,1,
282,1,3,325,1,5,25,1,10.87013
282,0,3,326,1,3,30,1,10.35944
282,1,3,327,1,5,30,1,10.46522
282,1,3,328,1,3,35,0,10.42706
282,1,3,329,1,4,40,1,10.71441
282,0,3,330,0,6,40,1,10.16448
282,1,3,331,1,4,35,1,11.41115
282,1,3,332,1,2,35,0,10.03261
282,1,3,333,,4,25,0,
282,1,3,334,1,5,40,1,11.15901
282,1,3,335,1,3,50,1,9.625209
282,1,3,336,1,4,40,1,11.46648
282,0,3,337,1,4,35,1,9.568504
282,0,3,338,1,6,30,1,11.72063
282,1,3,339,,4,35,1,
282,0,3,340,0,2,30,1,9.623072
282,0,3,341,1,4,50,1,10.62802
282,1,3,342,1,2,35,1,9.310579
282,0,3,343,1,4,30,1,10.33462
282,0,3,344,,2,25,0,
282,1,3,345,1,3,25,0,9.675152
282,1,3,346,1,4,40,1,9.740577
282,0,3,347,1,2,40,0,10.22303
282,1,3,348,1,2,40,1,9.561762
282,1,3,349,1,3,30,1,9.975892
282,1,3,350,1,4,30,1,9.411406
282,1,3,351,1,3,30,0,9.379503
282,1,3,352,1,4,40,1,9.314456
282,1,3,353,1,5,40,1,10.33369
282,1,3,354,1,2,35,0,9.874071
282,0,3,355,1,4,45,0,10.42843
282,1,3,356,1,4,40,1,10.25845
282,1,3,357,1,2,45,0,9.667795
282,1,3,358,1,3,30,1,10.84771
282,1,3,359,1,4,30,1,10.44952
282,1,3,360,,3,40,0,
282,1,3,361,1,4,35,1,10.40113
282,0,3,362,1,2,40,0,10.08597
282,1,3,363,,4,50,0,
282,1,3,364,1,6,40,0,11.00813
282,0,3,365,1,5,30,0,9.531961
282,1,3,366,1,6,30,0,10.02037
282,0,3,367,1,2,40,1,9.333069
282,0,3,368,1,2,35,0,10.11134
282,1,3,369,1,6,30,1,11.46121
282,1,3,370,1,4,50,0,10.9537
282,0,3,371,1,4,35,1,11.30632
282,1,3,372,1,3,40,1,10.21996
282,1,3,373,1,2,45,1,9.165191
282,1,3,374,1,3,30,1,9.279799
282,0,3,375,1,2,35,1,10.26728
282,0,3,376,1,4,40,1,10.43718
282,1,3,377,1,4,40,1,10.78954
282,1,3,378,,4,35,1,
282,1,3,379,,3,50,0,
282,1,3,380,1,5,30,0,10.55457
282,0,3,381,1,3,30,0,10.79625
282,1,3,382,1,5,40,0,9.526355
282,1,3,383,1,5,30,1,9.543863
282,1,3,384,1,6,35,1,10.068
282,0,3,385,1,2,50,0,9.350773
282,1,3,386,1,2,25,1,10.4399
282,1,3,387,1,3,25,1,10.08527
282,1,3,388,1,2,30,0,9.052996
282,1,3,389,1,4,30,1,10.00933
282,1,3,390,1,6,35,1,9.713398
282,1,3,391,1,6,35,1,10.4879
282,1,3,392,1,4,35,0,10.21209
282,1,3,393,1,5,30,1,11.34095
282,1,3,394,1,2,50,0,10.36574
282,1,3,395,1,6,35,0,11.55376
282,1,3,396,1,4,50,0,9.738919
282,1,3,397,1,6,40,0,11.25185
282,0,3,398,,4,40,1,
282,1,3,399,1,3,25,1,10.85889
282,1,3,400,1,4,45,1,10.52025
282,1,3,401,1,4,40,0,9.697998
282,1,3,402,1,4,45,0,10.97733
282,1,3,403,1,4,35,1,10.24119
282,1,3,404,1,4,35,1,10.1507
282,1,3,405,,4,30,0,
282,1,3,406,1,4,35,1,11.19026
282,1,3,407,1,5,25,1,9.714844
282,1,3,408,1,3,40,1,11.14892
282,0,3,409,1,4,40,1,10.41399
282,0,3,410,,4,25,0,
282,1,3,411,1,5,45,1,10.65498
282,1,3,412,1,5,30,0,9.0463
282,1,3,413,1,6,40,1,11.40178
282,1,3,414,1,3,35,0,10.86153
282,1,3,415,1,6,30,0,9.001051
282,1,3,416,,5,35,1,
282,1,3,417,1,4,35,1,10.59319
282,0,3,418,0,6,30,1,10.64363
282,0,3,419,1,6,40,0,11.34017
282,0,3,420,1,2,45,0,10.04127
282,1,3,421,1,3,40,0,9.584145
282,1,3,422,1,2,40,1,9.442382
282,1,3,423,1,2,40,1,9.213799
282,1,3,424,1,2,35,0,9.258379
282,0,3,425,1,2,40,1,9.101912
282,1,3,426,1,6,30,0,11.72432
282,1,3,427,,5,45,1,
282,1,3,428,1,5,30,1,10.50753
282,0,3,429,0,6,35,0,11.10117
282,0,3,430,,4,25,1,
282,0,3,431,1,4,40,0,10.31262
282,1,3,432,1,3,40,0,10.07683
282,0,3,433,0,5,30,1,10.97715
282,0,3,434,1,4,45,1,9.413808
282,1,3,435,1,4,30,1,11.59653
282,1,3,436,1,6,50,0,10.27422
282,1,3,437,1,4,50,1,11.95368
282,1,3,438,,4,50,0,
282,0,3,439,,5,35,0,
282,1,3,440,1,2,35,1,10.45827
282,0,3,441,1,4,30,1,10.63868
282,1,3,442,1,6,40,0,11.51101
282,1,3,443,1,5,45,1,11.39652
282,1,3,444,,2,30,0,
282,1,3,445,1,4,30,1,9.895227
282,0,3,446,1,5,50,0,10.93252
282,1,3,447,1,3,30,0,10.55039
282,1,3,448,1,3,30,1,10.67403
282,0,3,449,1,4,30,1,9.660311
282,1,3,450,1,2,35,1,10.36847
282,1,3,451,1,5,50,1,11.17188
282,1,3,452,1,5,40,0,9.526124
282,1,3,453,1,5,30,1,9.361575
282,0,3,454,0,6,30,1,9.805796
282,1,3,455,1,4,45,1,10.7537
282,0,3,456,1,5,35,1,10.9726
282,1,3,457,1,6,40,0,10.3162
282,1,3,458,1,6,25,0,12.21072
282,1,3,459,1,5,40,1,9.581925
282,1,3,460,,5,25,0,
282,1,3,461,1,6,40,1,10.83643
282,1,3,462,1,6,30,0,9.626844
282,1,3,463,1,6,35,1,11.58684
282,1,3,464,1,6,35,1,11.31838
282,1,3,465,,3,30,0,
282,0,3,466,1,4,40,1,9.730784
282,1,3,467,1,4,25,0,10.473
282,1,3,468,1,2,40,1,8.849133
282,0,3,469,0,4,25,0,9.8059
282,1,3,470,1,3,35,1,9.557104
282,0,3,471,1,4,35,0,10.3644
282,0,3,472,,6,30,1,
282,0,3,473,1,3,35,0,10.1207
282,1,3,474,1,4,45,0,9.792729
282,1,3,475,1,3,50,0,10.64797
282,0,3,476,1,5,40,1,11.84025
282,1,3,477,1,2,40,1,10.76308
282,1,3,478,1,6,40,0,11.02026
282,1,3,479,1,6,40,1,11.49911
282,0,3,480,,3,35,0,
282,1,3,481,1,6,25,1,9.923669
282,0,3,482,1,6,40,1,10.00881
282,1,3,483,1,2,45,0,10.07649
282,0,3,484,1,6,40,1,11.22311
282,0,3,485,1,5,50,0,10.11274
282,1,3,486,1,6,30,0,9.947586
282,1,3,487,1,4,40,1,10.4327
282,1,3,488,1,4,25,0,10.92244
282,1,3,489,1,6,50,0,9.386065
282,1,3,490,1,6,30,0,10.59181
282,1,3,491,1,4,35,1,10.16697
282,1,3,492,1,6,50,0,10.0254
282,1,3,493,,6,40,0,
282,1,3,494,1,4,50,0,11.03224
282,1,3,495,1,6,25,1,10.41077
282,0,3,496,1,4,30,1,10.18666
282,1,3,497,1,2,25,1,9.028841
282,1,3,498,1,4,35,0,10.89038
282,1,3,499,1,3,40,0,9.965281
282,1,3,500,1,3,45,1,10.37998
282,1,3,501,1,5,35,1,11.23135
282,1,3,502,1,3,40,1,10.77178
282,1,3,503,1,6,35,1,11.41094
282,1,3,504,1,5,25,0,10.64066
282,0,3,505,1,4,40,0,11.04852
282,1,3,506,1,4,35,1,11.12769
282,0,3,507,1,4,30,1,10.03812
282,1,3,508,1,6,50,1,11.03391
282,1,3,509,1,4,25,0,9.32961
282,0,3,510,1,2,35,1,9.802333
282,1,3,511,,2,25,1,
282,1,3,512,1,6,35,0,10.80406
282,1,3,513,1,2,40,1,9.700996
282,1,3,514,1,3,40,1,10.46716
282,1,3,515,1,4,25,1,10.865
282,1,3,516,1,6,40,1,10.41543
282,1,3,517,1,4,50,0,10.48997
282,1,3,518,1,5,35,0,10.31445
281,1,3,519,1,3,30,0,10.99376
281,1,3,520,1,6,40,1,12.24657
281,1,3,521,1,4,40,1,10.44909
281,0,3,522,1,4,35,1,10.34933
281,1,3,523,1,4,30,0,10.20864
281,0,3,524,0,5,40,0,10.98755
281,1,3,525,1,5,30,1,10.54911
281,1,3,526,1,3,35,1,9.407305
281,1,3,527,1,2,40,1,10.69523
281,0,3,528,1,3,30,0,9.95224
281,1,3,529,1,5,45,0,9.842814
281,0,3,530,,4,45,0,
281,0,3,531,1,2,30,1,9.822399
281,0,3,532,1,5,45,1,10.42685
281,1,3,533,1,4,35,1,11.23044
281,1,3,534,1,6,30,1,9.331594
281,0,3,535,1,4,40,1,11.55227
281,1,3,536,1,6,25,1,10.67642
281,1,3,537,1,3,40,0,9.812494
281,1,3,538,1,4,50,1,9.655033
281,0,3,539,,6,40,1,
281,1,3,540,1,3,50,0,9.900744
281,1,3,541,1,4,45,0,10.15846
281,1,3,542,1,4,40,1,10.62373
281,1,3,543,,4,40,0,
281,1,3,544,1,2,40,1,9.50374
281,1,3,545,1,6,40,1,10.82995
281,0,3,546,1,4,40,0,10.30281
281,1,3,547,1,4,50,0,11.12748
281,0,3,548,0,4,40,0,10.10732
281,0,3,549,0,3,35,0,9.276633
281,1,3,550,1,4,40,1,9.977319
281,1,3,551,,4,30,0,
281,0,3,552,1,4,40,1,10.68007
281,1,3,553,1,6,30,1,10.10823
281,0,3,554,,6,50,0,
281,1,3,555,1,4,30,1,9.280448
281,0,3,556,1,4,50,1,10.19078
281,1,3,557,1,4,50,1,11.90458
281,0,3,558,1,4,40,0,11.12059
281,1,3,559,1,5,30,0,10.78827
281,1,3,560,1,2,30,0,9.725026
281,1,3,561,,4,35,0,
281,0,3,562,1,4,35,1,10.72675
281,0,3,563,1,4,30,0,10.4645
281,1,3,564,1,5,45,1,10.99526
281,1,3,565,1,3,30,1,10.5509
281,1,3,566,1,2,40,0,10.54623
281,1,3,567,1,6,40,0,11.32269
281,0,3,568,1,4,30,1,10.78344
281,1,3,569,1,4,40,1,11.34367
281,1,3,570,,3,30,1,
281,1,3,571,1,3,35,0,10.39884
281,1,3,572,,4,25,1,
281,1,3,573,1,4,50,0,11.13364
281,1,3,574,1,3,35,1,9.479154
281,1,3,575,1,2,40,0,9.389762
281,1,3,576,1,5,40,0,9.89075
281,1,3,577,1,2,40,1,9.080782
281,1,3,578,1,5,25,1,10.47511
281,1,3,579,1,2,30,0,9.801145
281,1,3,580,,4,40,1,
281,0,3,581,1,3,30,0,10.17827
281,0,3,582,1,4,40,1,10.02247
281,1,3,583,1,4,40,0,10.79367
281,1,3,584,1,3,40,1,10.54564
281,1,3,585,1,3,30,0,9.803649
281,1,3,586,1,4,50,1,10.61352
281,0,3,587,1,4,45,1,11.51193
281,1,3,588,1,4,50,1,10.35649
281,1,3,589,1,6,45,1,11.08469
281,0,3,590,1,4,35,1,10.28169
281,1,3,591,1,3,35,0,9.959232
281,1,3,592,1,6,40,1,9.62309
281,0,3,593,1,2,40,1,10.14549
281,1,3,594,1,4,45,1,9.372663
281,1,3,595,1,5,40,0,10.83792
281,1,3,596,1,5,30,0,9.979746
281,1,3,597,1,6,50,1,11.22667
281,1,3,598,1,3,45,1,9.81906
281,1,3,599,1,4,35,1,10.70268
281,1,3,600,1,4,30,0,10.9294
281,1,3,601,1,5,50,1,11.75511
281,1,3,602,1,2,40,1,10.76478
281,1,3,603,1,4,35,1,10.70265
281,1,3,604,1,4,40,0,10.75979
281,0,3,605,0,4,40,0,11.19793
281,1,3,606,,6,25,0,
281,1,3,607,1,2,35,0,10.5551
281,0,3,608,1,4,40,0,10.28488
281,0,3,609,1,3,30,0,10.62565
281,1,3,610,1,2,50,1,9.930345
281,1,3,611,1,3,40,0,10.44362
281,1,3,612,1,5,40,0,11.11175
281,1,3,613,1,3,30,1,10.22729
281,0,3,614,1,5,30,1,10.51785
281,1,3,615,1,2,35,0,9.242402
281,0,3,616,0,5,30,1,9.275094
281,1,3,617,1,5,40,1,11.06891
281,1,3,618,1,3,30,0,9.629704
281,1,3,619,1,3,30,1,10.44342
281,0,3,620,1,6,40,0,10.39645
281,1,3,621,,2,30,0,
281,1,3,622,1,3,40,1,9.982308
281,0,3,623,,5,35,1,
281,1,3,624,1,4,30,0,9.110237
281,1,3,625,1,6,40,0,10.51802
281,0,3,626,1,5,30,1,10.3831
281,0,3,627,1,4,35,1,10.31463
281,0,3,628,1,6,40,0,11.8483
281,1,3,629,1,5,35,1,11.17492
281,1,3,630,1,4,50,0,11.17563
281,1,3,631,1,4,40,1,10.87151
281,1,3,632,1,4,40,0,8.853574
281,1,3,633,1,3,40,1,10.11778
281,1,3,634,1,4,40,1,11.19529
281,1,3,635,1,4,30,1,10.50399
281,1,3,636,1,4,45,1,9.823149
281,1,3,637,1,5,35,1,11.0631
281,1,3,638,1,4,25,0,9.211432
281,1,3,639,1,2,50,1,11.11751
281,1,3,640,1,4,45,1,10.2677
281,1,3,641,,4,30,1,
281,1,3,642,1,2,30,0,9.428422
281,0,3,643,1,4,40,0,11.23902
281,0,3,644,0,2,50,1,10.56664
281,0,3,645,1,4,45,1,9.920693
281,0,3,646,1,4,40,0,11.01673
281,0,3,647,1,5,30,1,10.2055
281,1,3,648,1,6,35,1,9.462142
281,1,3,649,1,4,50,0,11.01763
281,1,3,650,1,5,40,0,11.22868
281,1,3,651,1,4,25,1,9.598105
281,0,3,652,,6,50,0,
281,1,3,653,1,3,40,1,9.559474
281,1,3,654,1,3,40,0,10.22511
281,0,3,655,1,2,50,1,9.771181
281,0,3,656,1,4,25,0,10.42238
281,0,3,657,1,4,35,1,10.34684
281,1,3,658,1,2,25,0,8.894271
281,1,3,659,1,3,35,0,10.56566
281,0,3,660,1,6,35,1,11.36526
281,1,3,661,1,4,35,1,9.89021
281,0,3,662,1,4,50,0,10.37942
281,1,3,663,1,6,30,0,9.330565
281,1,3,664,1,3,35,0,10.45049
281,0,3,665,1,5,50,1,10.26321
281,1,3,666,1,4,30,0,10.14613
281,1,3,667,1,6,35,0,10.64514
281,1,3,668,,6,40,1,
281,1,3,669,1,4,50,1,10.52316
281,1,3,670,1,4,25,1,10.36244
281,1,3,671,1,6,35,0,11.23338
281,1,3,672,1,3,40,1,10.42621
281,0,3,673,1,4,50,1,10.93844
281,1,3,674,1,2,40,0,10.07832
281,1,3,675,,2,40,0,
281,0,3,676,1,4,35,1,9.881286
281,1,3,677,1,4,40,1,10.62683
281,1,3,678,1,4,30,1,11.46419
281,0,3,679,1,6,50,1,11.99818
281,1,3,680,1,6,50,1,9.911959
281,1,3,681,1,6,50,0,10.16852
281,0,3,682,0,5,30,0,11.04043
281,1,3,683,1,4,50,1,11.13569
281,1,3,684,1,3,40,0,10.86005
281,1,3,685,1,2,40,1,9.869369
